transaction_id,sender_id,receiver_id,amount,timestamp
TX_000000,ACC_00121,ACC_00152,371.61,2024-01-05 17:49:00
TX_000001,ACC_00175,ACC_00133,116.88,2024-01-10 11:44:00
TX_000002,ACC_00152,ACC_00138,257.79,2024-01-02 07:09:00
TX_000003,ACC_00131,ACC_00097,18.26,2024-01-14 02:53:00
TX_000004,ACC_00094,ACC_00075,435.53,2024-01-06 10:11:00
TX_000005,ACC_00077,ACC_00079,423.43,2024-01-17 15:17:00
TX_000006,ACC_00057,ACC_00086,33.15,2024-01-01 05:20:00
TX_000007,ACC_00190,ACC_00155,138.3,2024-01-28 23:01:00
TX_000008,ACC_00005,ACC_00134,114.52,2024-01-06 17:53:00
TX_000009,ACC_00064,ACC_00002,378.31,2024-01-16 02:31:00
TX_000010,ACC_00140,ACC_00097,182.13,2024-01-04 16:02:00
TX_000011,ACC_00172,ACC_00173,150.83,2024-01-09 18:16:00
TX_000012,ACC_00170,ACC_00124,394.72,2024-01-15 03:15:00
TX_000013,ACC_00126,ACC_00155,432.52,2024-01-23 23:11:00
TX_000014,ACC_00158,ACC_00081,184.05,2024-01-12 00:50:00
TX_000015,ACC_00133,ACC_00005,158.64,2024-01-24 10:00:00
TX_000016,ACC_00159,ACC_00158,151.22,2024-01-10 12:51:00
TX_000017,ACC_00031,ACC_00140,324.73,2024-01-05 12:08:00
TX_000018,ACC_00104,ACC_00012,321.31,2024-01-22 19:37:00
TX_000019,ACC_00100,ACC_00133,324.91,2024-01-11 23:55:00
TX_000020,ACC_00153,ACC_00015,312.26,2024-01-02 17:03:00
TX_000021,ACC_00150,ACC_00141,171.35,2024-01-10 19:44:00
TX_000022,ACC_00093,ACC_00155,105.33,2024-01-21 00:32:00
TX_000023,ACC_00041,ACC_00090,236.51,2024-01-15 22:45:00
TX_000024,ACC_00082,ACC_00074,300.83,2024-01-12 19:33:00
TX_000025,ACC_00071,ACC_00160,321.68,2024-01-20 13:17:00
TX_000026,ACC_00092,ACC_00180,91.55,2024-01-25 22:30:00
TX_000027,ACC_00130,ACC_00177,264.55,2024-01-29 12:50:00
TX_000028,ACC_00055,ACC_00115,316.38,2024-01-15 06:46:00
TX_000029,ACC_00099,ACC_00159,200.69,2024-01-17 00:29:00
TX_000030,ACC_00123,ACC_00102,59.66,2024-01-20 05:58:00
TX_000031,ACC_00135,ACC_00004,33.66,2024-01-07 00:23:00
