transaction_id,sender_id,receiver_id,amount,timestamp
TX_000001,ACC_00058,ACC_00264,30.59,2024-02-09 06:48:00
TX_000002,ACC_00200,ACC_00045,103.7,2024-02-20 04:09:00
TX_000003,ACC_00061,ACC_00175,63.22,2024-01-14 11:45:00
TX_000004,ACC_00232,ACC_00049,226.3,2024-01-12 18:26:00
TX_000005,ACC_00036,ACC_00296,4.05,2024-02-21 04:20:00
TX_000006,ACC_00225,ACC_00061,74.42,2024-03-24 19:40:00
TX_000007,ACC_00033,ACC_00014,238.71,2024-02-02 16:19:00
TX_000008,ACC_00175,ACC_00038,162.16,2024-02-04 23:58:00
TX_000009,ACC_00270,ACC_00199,197.46,2024-01-09 09:58:00
TX_000010,ACC_00072,ACC_00099,10.43,2024-03-14 12:50:00
TX_000011,ACC_00251,ACC_00235,19.01,2024-01-11 11:18:00
TX_000012,ACC_00194,ACC_00160,35.3,2024-02-09 11:24:00
TX_000013,ACC_00054,ACC_00238,112.36,2024-03-21 10:03:00
TX_000014,ACC_00297,ACC_00093,52.9,2024-03-30 07:56:00
TX_000015,ACC_00086,ACC_00295,48.7,2024-02-16 05:00:00
TX_000016,ACC_00261,ACC_00190,57.91,2024-01-28 08:09:00
TX_000017,ACC_00149,ACC_00162,24.55,2024-01-05 16:08:00
TX_000018,ACC_00004,ACC_00146,5.29,2024-03-22 18:03:00
TX_000019,ACC_00044,ACC_00296,39.0,2024-03-11 03:03:00
TX_000020,ACC_00100,ACC_00097,79.97,2024-02-03 19:38:00
TX_000021,ACC_00234,ACC_00181,184.72,2024-01-03 10:13:00
TX_000022,ACC_00269,ACC_00224,182.83,2024-03-04 05:23:00
TX_000023,ACC_00295,ACC_00018,98.89,2024-02-15 01:26:00
TX_000024,ACC_00235,ACC_00111,61.29,2024-02-06 10:12:00
TX_000025,ACC_00242,ACC_00051,111.58,2024-02-13 23:28:00
TX_000026,ACC_00127,ACC_00241,93.5,2024-01-04 06:45:00
TX_000027,ACC_00196,ACC_00024,30.69,2024-02-15 14:01:00
TX_000028,ACC_00104,ACC_00123,558.78,2024-03-02 22:44:00
TX_000029,ACC_00226,ACC_00165,8.99,2024-03-07 20:26:00
TX_000030,ACC_00140,ACC_00235,111.61,2024-03-11 15:41:00
TX_000031,ACC_00158,ACC_00090,13.21,2024-02-18 11:48:00
TX_000032,ACC_00292,ACC_00008,48.69,2024-01-22 14:07:00
TX_000033,ACC_00157,ACC_00266,138.65,2024-03-05 20:25:00
TX_000034,ACC_00015,ACC_00147,23.73,2024-03-20 10:04:00
TX_000035,ACC_00254,ACC_00299,60.69,2024-01-25 20:48:00
TX_000036,ACC_00026,ACC_00210,142.67,2024-03-30 15:10:00
TX_000037,ACC_00022,ACC_00166,43.65,2024-02-21 06:24:00
TX_000038,ACC_00022,ACC_00116,12.02,2024-01-31 14:40:00
TX_000039,ACC_00150,ACC_00028,33.78,2024-02-27 05:24:00
TX_000040,ACC_00020,ACC_00017,97.77,2024-01-23 02:09:00
TX_000041,ACC_00122,ACC_00063,18.1,2024-01-01 20:53:00
TX_000042,ACC_00059,ACC_00047,18.17,2024-02-19 16:35:00
TX_000043,ACC_00201,ACC_00012,6.13,2024-02-05 04:48:00
TX_000044,ACC_00196,ACC_00205,27.66,2024-01-30 21:49:00
TX_000045,ACC_00210,ACC_00227,10.85,2024-02-26 05:13:00
TX_000046,ACC_00200,ACC_00274,62.53,2024-03-15 04:32:00
TX_000047,ACC_00104,ACC_00210,45.61,2024-01-20 22:32:00
TX_000048,ACC_00244,ACC_00089,78.45,2024-02-23 09:01:00
TX_000049,ACC_00054,ACC_00118,155.09,2024-02-26 03:13:00
TX_000050,ACC_00260,ACC_00241,107.38,2024-02-07 21:10:00
TX_000051,ACC_00006,ACC_00089,152.22,2024-01-01 08:40:00
TX_000052,ACC_00193,ACC_00034,130.18,2024-03-22 19:57:00
TX_000053,ACC_00216,ACC_00105,58.11,2024-01-07 22:04:00
TX_000054,ACC_00217,ACC_00206,17.88,2024-01-12 05:04:00
TX_000055,ACC_00192,ACC_00190,21.4,2024-01-06 01:58:00
TX_000056,ACC_00023,ACC_00293,16.16,2024-01-06 09:34:00
TX_000057,ACC_00064,ACC_00198,13.36,2024-02-22 13:55:00
TX_000058,ACC_00101,ACC_00102,56.74,2024-01-16 17:50:00
TX_000059,ACC_00008,ACC_00084,10.09,2024-03-19 10:20:00
TX_000060,ACC_00102,ACC_00006,274.4,2024-02-01 13:36:00
TX_000061,ACC_00063,ACC_00090,27.5,2024-03-25 02:01:00
TX_000062,ACC_00180,ACC_00214,170.35,2024-01-17 08:10:00
TX_000063,ACC_00206,ACC_00195,183.75,2024-03-06 06:48:00
TX_000064,ACC_00252,ACC_00119,136.84,2024-01-27 15:27:00
TX_000065,ACC_00169,ACC_00063,5.13,2024-02-25 01:35:00
TX_000066,ACC_00026,ACC_00173,9.5,2024-03-25 15:44:00
TX_000067,ACC_00052,ACC_00133,66.03,2024-01-03 23:25:00
TX_000068,ACC_00094,ACC_00108,50.01,2024-02-07 20:33:00
TX_000069,ACC_00230,ACC_00001,33.12,2024-01-13 06:46:00
TX_000070,ACC_00179,ACC_00198,36.63,2024-02-24 22:47:00
TX_000071,ACC_00191,ACC_00121,52.9,2024-01-15 15:47:00
TX_000072,ACC_00203,ACC_00045,157.77,2024-01-20 09:05:00
TX_000073,ACC_00216,ACC_00284,35.37,2024-01-21 15:14:00
TX_000074,ACC_00019,ACC_00006,51.3,2024-01-13 12:28:00
TX_000075,ACC_00042,ACC_00228,37.42,2024-01-23 06:32:00
TX_000076,ACC_00164,ACC_00195,129.65,2024-01-03 11:31:00
TX_000077,ACC_00259,ACC_00132,22.57,2024-02-17 03:13:00
TX_000078,ACC_00089,ACC_00001,33.96,2024-01-11 04:45:00
TX_000079,ACC_00086,ACC_00210,19.4,2024-02-07 08:41:00
TX_000080,ACC_00145,ACC_00208,4.63,2024-03-27 08:02:00
TX_000081,ACC_00058,ACC_00156,27.62,2024-03-18 10:46:00
TX_000082,ACC_00238,ACC_00269,17.98,2024-01-01 06:54:00
TX_000083,ACC_00209,ACC_00133,31.03,2024-01-06 12:23:00
TX_000084,ACC_00098,ACC_00258,7.2,2024-03-15 17:13:00
TX_000085,ACC_00206,ACC_00087,134.01,2024-03-15 04:54:00
TX_000086,ACC_00161,ACC_00136,55.82,2024-01-12 00:41:00
TX_000087,ACC_00138,ACC_00206,189.35,2024-02-19 03:54:00
TX_000088,ACC_00013,ACC_00010,274.14,2024-02-21 10:06:00
TX_000089,ACC_00136,ACC_00065,58.77,2024-01-18 00:24:00
TX_000090,ACC_00228,ACC_00006,16.95,2024-03-26 12:36:00
TX_000091,ACC_00148,ACC_00054,10.05,2024-01-07 23:30:00
TX_000092,ACC_00251,ACC_00295,23.79,2024-03-27 01:44:00
